State,All,Tornado,Wind,Hail,Year,Month
39,167,7,160,0,4,7
40,65,5,21,39,4,7
41,171,3,164,4,4,7
42,71,3,56,12,4,7
43,36,1,33,2,4,7
44,14,0,8,6,4,7
45,97,0,83,14,4,7
46,1,0,1,0,4,7
47,105,0,93,12,4,7
48,77,0,57,20,4,7
49,15,0,11,4,4,7
0,6,0,6,0,3,8
2,45,1,37,7,3,8
3,11,0,11,0,3,8
4,5,0,5,0,3,8
5,1,0,1,0,3,8
7,1,0,1,0,3,8
8,32,11,21,0,3,8
9,5,0,5,0,3,8
11,14,0,13,1,3,8
12,42,1,31,10,3,8
13,7,0,7,0,3,8
14,33,0,3,30,3,8
15,60,0,36,24,3,8
16,3,0,3,0,3,8
17,6,0,6,0,3,8
19,4,0,2,2,3,8
20,3,0,3,0,3,8
21,23,0,13,10,3,8
22,10,0,2,8,3,8
23,4,0,4,0,3,8
24,11,0,7,4,3,8
25,36,0,36,0,3,8
26,19,0,7,12,3,8
27,6,0,6,0,3,8
28,9,0,7,2,3,8
29,1,0,1,0,3,8
30,5,1,4,0,3,8
31,37,2,33,2,3,8
32,10,1,9,0,3,8
33,6,0,0,6,3,8
34,12,1,11,0,3,8
35,6,0,4,2,3,8
36,4,0,4,0,3,8
37,6,0,6,0,3,8
39,2,1,1,0,3,8
40,9,0,3,6,3,8
41,10,0,10,0,3,8
42,45,0,32,13,3,8
43,11,0,11,0,3,8
45,25,0,25,0,3,8
46,1,0,0,1,3,8
47,5,0,4,1,3,8
48,38,0,20,18,3,8
49,2,0,2,0,3,8
0,18,0,15,3,5,1
2,1,0,1,0,5,1
3,10,1,5,4,5,1
4,41,3,37,1,5,1
8,29,9,9,11,5,1
9,30,2,26,2,5,1
11,2,0,2,0,5,1
12,59,12,12,35,5,1
13,25,2,19,4,5,1
14,1,0,0,1,5,1
15,2,1,1,0,5,1
16,50,1,36,13,5,1
17,29,0,8,21,5,1
21,11,3,1,7,5,1
23,15,0,6,9,5,1
24,3,0,0,3,5,1
31,4,1,3,0,5,1
32,4,0,4,0,5,1
34,45,11,25,9,5,1
35,2,0,1,1,5,1
36,1,0,1,0,5,1
37,4,0,4,0,5,1
39,23,0,23,0,5,1
41,8,0,7,1,5,1
42,60,3,15,42,5,1
45,11,0,11,0,5,1
47,10,0,10,0,5,1
48,12,3,3,6,5,1
0,4,0,3,1,2,9
2,13,0,8,5,2,9
3,8,2,2,4,2,9
4,12,0,12,0,2,9
5,3,0,2,1,2,9
7,1,0,1,0,2,9
8,7,2,5,0,2,9
9,12,0,12,0,2,9
11,2,0,1,1,2,9
12,55,16,35,4,2,9
13,31,4,26,1,2,9
15,36,10,19,7,2,9
16,7,0,7,0,2,9
17,14,5,9,0,2,9
19,7,0,7,0,2,9
20,1,0,1,0,2,9
21,11,2,9,0,2,9
22,19,10,8,1,2,9
23,13,3,3,7,2,9
24,36,20,15,1,2,9
26,5,1,2,2,2,9
29,2,0,2,0,2,9
30,2,0,1,1,2,9
31,14,0,14,0,2,9
32,4,0,4,0,2,9
33,6,4,2,0,2,9
34,40,19,18,3,2,9
35,84,21,48,15,2,9
36,2,0,2,0,2,9
37,40,11,29,0,2,9
40,19,7,8,4,2,9
41,7,3,3,1,2,9
42,72,6,60,6,2,9
43,6,0,6,0,2,9
44,5,0,5,0,2,9
45,26,0,26,0,2,9
46,4,0,4,0,2,9
0,59,4,51,4,0,4
2,1,1,0,0,0,4
3,104,17,76,11,0,4
4,10,1,5,4,0,4
5,84,22,8,54,0,4
7,17,0,16,1,0,4
8,70,1,60,9,0,4
9,57,1,52,4,0,4
11,14,3,9,2,0,4
12,218,20,146,52,0,4
13,191,14,145,32,0,4
14,89,27,37,25,0,4
15,469,87,185,197,0,4
16,64,0,49,15,0,4
17,95,25,63,7,0,4
18,1,0,1,0,0,4
19,89,3,80,6,0,4
20,3,0,3,0,0,4
21,27,1,22,4,0,4
22,20,5,8,7,0,4
23,49,2,46,1,0,4
24,257,43,150,64,0,4
25,15,0,6,9,0,4
26,185,30,30,125,0,4
27,1,1,0,0,0,4
29,28,1,18,9,0,4
30,47,11,18,18,0,4
31,63,0,55,8,0,4
32,173,4,102,67,0,4
33,40,3,17,20,0,4
34,187,35,115,37,0,4
35,293,63,127,103,0,4
36,1,1,0,0,0,4
37,322,16,214,92,0,4
38,2,0,2,0,0,4
39,27,0,20,7,0,4
40,12,0,2,10,0,4
41,41,3,25,13,0,4
42,654,109,202,343,0,4
43,3,0,3,0,0,4
44,1,0,1,0,0,4
45,180,1,157,22,0,4
46,1,0,0,1,0,4
47,106,0,81,25,0,4
48,10,0,8,2,0,4
49,25,1,1,23,0,4
0,144,0,129,15,3,5
2,16,2,13,1,3,5
3,20,0,19,1,3,5
4,3,0,3,0,3,5
5,106,17,22,67,3,5
6,2,0,1,1,3,5
7,3,0,3,0,3,5
8,109,4,98,7,3,5
9,201,0,175,26,3,5
11,20,0,2,18,3,5
12,132,1,116,15,3,5
13,94,2,82,10,3,5
14,62,2,39,21,3,5
15,249,20,150,79,3,5
16,162,0,160,2,3,5
17,37,1,26,10,3,5
18,10,0,3,7,3,5
19,69,1,60,8,3,5
21,52,0,41,11,3,5
22,244,11,156,77,3,5
23,56,2,48,6,3,5
24,93,1,80,12,3,5
25,61,0,47,14,3,5
26,359,11,149,199,3,5
27,6,0,6,0,3,5
28,5,0,1,4,3,5
29,15,1,14,0,3,5
30,37,1,17,19,3,5
31,50,0,40,10,3,5
32,190,2,166,22,3,5
33,150,8,94,48,3,5
34,349,16,306,27,3,5
35,74,0,55,19,3,5
36,1,1,0,0,3,5
37,109,0,99,10,3,5
38,1,0,1,0,3,5
39,181,1,170,10,3,5
40,276,6,181,89,3,5
41,69,1,56,12,3,5
42,131,0,112,19,3,5
43,54,1,52,1,3,5
44,1,0,0,1,3,5
45,325,2,310,13,3,5
46,14,0,8,6,3,5
47,186,0,169,17,3,5
48,110,12,78,20,3,5
49,44,1,15,28,3,5
0,92,0,89,3,1,6
2,13,4,9,0,1,6
3,21,1,20,0,1,6
4,5,0,0,5,1,6
5,131,18,54,59,1,6
6,17,0,14,3,1,6
7,12,0,12,0,1,6
8,61,2,57,2,1,6
9,112,0,96,16,1,6
11,12,0,12,0,1,6
12,188,12,154,22,1,6
13,117,2,107,8,1,6
14,118,0,74,44,1,6
